sent0,sent1
Οι πόρτες κλείδωσαν όταν μπήκαμε.,We went in even though the doors were locked.
所以我只需要拿出总数，然后尝试像这样去解决。,I will calculate it based off of the totals.
"Er kam, er öffnete die Tür und ich erinnere mich daran dass ich zurück schaute und den Ausdruck auf seinem Gesicht sah, und ich wusste, dass er enttäuscht war.",Just by the look on his face when he came through the door I just knew that he was let down.
لذلك ، لا أملك أي قصص محددة  .,I dont have a particular store.
"Et c'était, il n'avait jamais réellement dû faire quelque chose pour lui-même.",He gets a lot of help.
"Kwa hivyo niko kama, Oh, mungu wangu, na Ramona alikuwa amesimama hapo.",Ramona was upright while I was there in awe.
事实是，她很轻松！,She did not weigh much at all.
我不知道在那之后他是否还留在奥古斯塔。,He continued to live in Augusta.
"Το μόνο που κάναμε, ποτέ δεν μας έλεγαν σε ποιο μέρος πήγαιναν, ακόμα και όταν έφευγαν από τη βάση για να πάνε για κάπου αλλού για να μείνουν για λίγο.",They never told us where they were going.
Они сказали: Мы платим за место для вас.,They're paying for housing.
เอาละในวันถัดไป แน่ละ ท่านประธานาธิบดีเคนเนดี้ เอ่อ ได้ปิดล้อมคิวบา และก็ เอ่อ เรือของเราได้หยุดเรือของรัสเซียที่มุ่งหน้าเข้าคิวบาและพวกเขาก็พบขีปนาวุธในนั้น,Kennedy told our troops to look for missiles.
"Както и да е, мъжът влиза.",The man entered the room.
"Mmm..., mis abuelos siempre fueron personas muy, muy cariñosas y algunas veces estuvieron mis padres y sencillamente lo pasamos muy bien allá abajo.",My grandparents were a very loving couple.
میرے پاس ہر چیز میں حصہ لینے کے لۂے فضول وقت نہیں ہے,I ran out of time to enter it all in.
"Và, ừ, một trong những công việc của tôi vào thời điểm đó là huấn luyện các cá nhân cách đặt dù trên nút kích hoạt vũ khí hạt nhân, ừ, để tự phát nổ bom nguyên tử.",The trigger detonates the bomb when it's pulled.
"Bà tôi thường kể cho tôi nghe rất nhiều câu chuyện khác nhau về những năm trưởng thành của bà và, uh, đặc biệt là, uh, bà thường nói về gia đình của mình, và nó như thế nào trong những thời gian đó.",My grandmother told me lots of stuff about her family during the time that she was growing up.
"Там, в самолете, на нас были высотные скафандры, такие же как у космонавтов, только наши были полностью блестящие, с отражающими ботинками и всем прочим — для отражения тепла, само собой.","Our suits were the same as the astronauts except to reflect heat, ours were silver."
Et il l'était. Mon grand-père n'était pas un homme gentil.,My grandpa was a jerk.
إنها  30 أو 40 طائرة من طراز U2 ، وبدأنا تدريب الطيارين الصينيين والطيارين البريطانيين في جميع أنحاء العالم الذي كنا حلفاء معه.,We trained with a lot of other soldiers.
"Итак, она такая... Ну, смотри, посмотри на это в такой-то компании.",She told me to look something up.
"Каза, че са заминали на север.",He said they went up North.
"Aa, hayır, dürüst olmak gerekirse, hiç bir zaman okumam gereken kitapları okumam.",I haven't read many books.
"Я пошел дальше, взял багаж и пришел по адресу, по которому был должен прийти.",I took the bag to where it belonged.
Ήταν μια καταπληκτική εναλλαγή διάθεσης.,The mood changed a lot.
พวกเขาเลือกฉันมากกว่า 15 คนที่นั้นเพื่อที่จะผ่านไปโรงเรียนนั้นและฉันไม่ใช่ ฉันไม่ใช่,I was picked to go to that school.
U2 (یو 2) کی پرواز شروع کرنے یا پریشر سوٹ کے ساتھ پرواز کرنے سے بھی پہلے انہیں اونچائی کے چیمبر کی کئی سواریوں/پروازوں سے گزرنا پڑتا ہے.,They have to go through a lot of training before they fly U2's.
मै भी एक जैसा सामान को कवर कर रहा हु ।,I'm talking about the same things they did.
"ये ऐसा ७५ सालो में पहली बार हुआ था , की  टी एक्स  लेजिस्लेचर ने सैनिक  टी एक्स राजदूतों को मतदान दिया , इसी लिए  टी एक्स राजदूतों की आवश्यकता है ।",The military unit was named TX Ambassadors.
S'il y avait quelque chose que je pouvais faire.,I could do something.
"Тя мразеше това и казваше на сестра си всеки ден, че прави грешни неща.",She was very critical of her sister.
"Vậy là tôi đã đến nhà cô ấy và sau đó tôi gọi đến số này, số người ta dặn tôi gọi khi tôi đến đó.",I called the number when I arrived at her house.
"Bueno, pues llego allí esta mañana y, eh, olvido cómo... Creo que hice una pregunta, o él entró, o yo qué sé.","I showed up this morning and he came, too."
لم نعلم إلى أين كانوا ذاهبين.,We didn't know where the people were traveling to.
"लेकिन मैं जैसे कि यह भूल गया था, कि मैं दोपहर का खाना खाने जा रहा था लेकिन मैं भूखा था।",I was hungry so i decided to eat my lunch.
Et donc laissez-moi vous dire je suis arrivé aujourd'hui au point où j'étais sur le point de démissionner,I almost ended up quitting.
"Nació en mil ochocientos ochenta y algo, pudo haber sido en 1888 o 1889.",He was born before 1900.
"Küçük vidayı biraz gevşetirsen iyi olur, çünkü bireyin yaralanmasına neden olur ve akciğerlerine çok kolay bir şekilde zarar verebilirsin.",That screw can hurt someone's lungs.
我接到了去德克萨斯州德尔里奥的命令，所以当我到达那里的时候，我发现我必须去劳克林空军基地。,"I got sent to Del Rio, Texas for work."
"Всеки получава шампанско и някои хора не го пият, така че това, което остава, го пият децата, така че ние обикаляхме и пиехме всичкото това шампанско.",The kids drank some of the champagne.
Υπάρχουν πολλές ιστορίες στην γυμνή πόλη.,There are a lot of stories that get told.
"Tu vis et tu apprends, tu sais, lorsque tu testes, oh, un avion.",Testing aircraft teaches you a lot of lessons.
Quiero decir que ese fue el punto completo.,I understood the point.
كان من قاعدة جوية حلقت فوق كوبا ، وبالطبع تم إسقاط رودولف أندرسون.,Something was shot down over Cuba.
"Вероятно, это была первая вещь, о которой я помню, будучи маленьким ребенком,.. ах, особенно о чем-то, что я сделал неправильно.",It was one of my earliest memories.
ان دنوں جس طرح سیاہ فام لوگوں کی زندگی ہوا کرتی تھی انہیں بس وہ پسند نہیں تھی، اور وہ، آپ کو معلوم ہی ہے میرا خیال ہے، یہ شاید، آپ کو پتہ ہوگا، 1930 کے اوائل کی بات ہے، اہ، جب انہوں نے یہ کیا تھا۔,It wsa hard to be black back then.
لا أحد يعرف إلى أين ذهبوا.,Their destination was a secret.
और वे अगस्ता क्षेत्र में नहीं रह सकते क्योंकि लोग जानते थे कि उन्होंने कुछ ऐसा करने की कोशिश की थी जो वास्तव में निषिद्ध था और वाइट के लिए पार करने का प्रयास किया था।,People were aware that they weren't white.
"Ну что ж, он здесь.",The guy is present.
Chúng tôi đang xem gì đó trên TV.,We were looking at the TV.
تو کسی بھی طرح،میں سوچتا ہوں کہ میں نے دوبارہ رامونا سے بات کی.,I talked to Ramona another time.
"Il était la seule victime de la crise cubaine, et euh, Kaiser euh, il a pris les photos et a volé directement jusqu'à Andrews Air Force à Washington.",Only one person died in the Cuban Crisis.
"Ähm, und sie sagte, sagte sie, sie sagte: Baby, sagte sie, du verstehst das Leben nicht so, wie ich das Leben verstehe.",She said that she knew more about life.
"Sau đó, tôi đã hiểu ra và tôi cảm thấy tuyệt, tôi phải làm gì với nó?",I don't know what I was supposed to use it for.
"Если хочешь, чтобы получилось эту штуку отрезать, дай мне минуту, тогда я, а..., иди.",I need a minute here.
"И я отправился в Вашингтон, но не пошел сразу в это, э-э-э, туда, куда меня направили по инструкции.",I went to the nation's capital.
Elle était une personne noire à la peau claire.,She had light skin for an African-American person.
"Yani, her neyse, Babam gidip bana bu güzel büyük bardakta çikolatalı sütü alıyor.",Dad poured me a glass of milk.
Der DOT musste das Grundstück und das ganze Zeug kaufen.,The property and equipment was purchased by the DOT.
Angekuwa amezaliwa.,He was supposed to be born.
مجھے پسند ہے، میں جانتا ہوں کہ میں کتنے دور تک پہنچ گیا ہوں.,I told them I know what i've achieved.
ตกลงคุณได้ยินฉันไหม,Can you hear me right now?
嗯，有么，你说你不记得读过什么特别的东西，比如当你在学校长大的时候，有没有你喜欢或讨厌的书籍？,Did you like or hate certain books?
إنه برغي صغير يضبط حقنة ولكن أنبوب ضغط التنفس للطيار والضغط المضاد.,The screw affects the pressure.
"वह जैसी है,  इस बारे में चिंता न करें, आप जानते हैं, अपना समय लीजिए।",She told me just to slow down.
"राष्ट्रपति कैनेडी ने पायलटों से कहा, सज्जनो, आप अच्छे चित्र लेते हैं।",Kennedy talked to the pilots.
Και ήμουν σαν να έχω σχεδόν τελειώσει.,I told them i was almost finished.
J'ai essayé de tout noter.,I aimed to write things down.
لا ، لقد ولدت في عام 1900 لأنها كانت في السادسة عشر من عمرها ، لذا يجب أن تكون كذلك في عام 1926 ، 19 ، كما تعلمون قبل عام 1930.,She was born at the turn of the century
"Vì vậy, nó thực sự rất thú vị.",It was interesting to me.
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,Her sister was usually assumed to be white.
"Λοιπόν, ήταν σχεδόν αρκετά μεγάλος για να είναι ο μπαμπάς της.",He was older than her.
"Αυτό, ήμουν ο μόνος 922 που ήταν άνθρωπος υποστήριξης ζωής ο άλλος άνθρωπος ήταν μια φυσιολογική υποστήριξη.",One man gave physiological support.
اور یہاں میں سوچھ رہیں ہوں کہ وہ آ کر مجھ پر چلاۂگا کے  میں نے ابھی تک یہ کام کیوں نہیں کیا,I thought he was coming here to fight.
Ilikuwa bayana kwamba hatungeweza kukosea hata kidogo.,We were not allowed to make a mistake.
، آه ، ولكن ، آه ، كنت أعتقد ، في الليل لم أستطع النوم.,I had trouble sleeping at night.
"Единственное, что у неё на самом деле было в качестве серьёзной защиты.",She could defend herself well.
"Χμ, καθόσον δεν έχει ειπωθεί ποτέ--",Sometimes I'm not told.
"Kwa hivyo, tuliishi eneo hili.",Our home was around here.
Và anh ấy thích nói nhanh; anh ấy đang dùng điện thoại di động.,He's talking on his cell phone.
मुझे याद नहीं है कि क्या हुआ था लेकिन मैं अचानक से तनाव में आ गया क्योंकि पहली बार मैं स्कूल जाने वाला था और वह मेरी जिंदगी का सबसे तनावपूर्ण था।,I was worried about going to school
"मैं जीवित था, उह, ठीक बाहर सेंट लुइस के, जेफरसन सिटी और सेंट लुइस के बीच, एमओ।",I was in Missouri.
"Правех репортаж на определено място в Дел Рио, после отидох във военновъздушната база Лофлин, която тъкмо беше отворена отново.",The Laughlin Air Force Base closed for a while.
Не ми пука как го правите.,I'm not interested in how you finish it.
"Bunun için baktım, Ramona'nın nerede olduğunu öğrendim ve oradan onu aradım.",I called Ramona over to where I was.
"Междувременно Военновъздушните сили купиха SR71, сега А-12, за които работихме с ЦРУ.",The Air Force bought planes.
Chồng của chị gái bạn cũng là người da trắng à?,Her sister is married.
"Mais en vieillissant, elle n'a jamais reconnu qu'elle avait eu tort, mais elle a modifié son comportement.",She never admitted that she was wrong.
عمي رجل عظيم.,I like my uncle a lot.
"Nilikwenda kwa dada yangu aliyeishi huko. Mumewe alikuwa katika huduma na alifanya kazi na Upelelezi, na nilikwenda nyumbani kwao.",My brother in law was in the service.
"मैं सोच रहा था कि शायद मैं किसी और को जाने दूंगा लेकिन मैं सोच रहा था,  हे भगवान!",I thought I was going to led someone else go instead.
"एक मिनट वह मेज को पीट रहा था, दूसरे में वह ठीक हो गया, इसे मेरी डेस्क पर पेश करें, डाह, डाह, डाह, डाह, डाह।",He changes his mind a lot.
"Έτσι, ε, κατέληξε να μπαίνει εκεί και ήταν σαν, πώς πέρασε;",He asked how things were going.
"Puis ma roue a patiné pendant, je ne sais pas, c'est comme si ça avait duré toute la journée.",I spun my wheel for a long time.
และเธอก็เป็นวัณโรคและฉันไม่เคยรู้มาก่อนอีกด้วย,I didn't know she had TB.
"Unajua, hauwezi, hautaweza kudumu kama hauna mkazo wa kupinga na kuongeza mkazo wa kupumua katika mwinuko huo.",You need to have counter pressure at that altitude.
"उह, उह, उस अन्य दो लोग,  जो उस स्थान पर थे, से प्रशिक्षण लेना मैंने तुरंत शुरू कर दिया |",Two guys trained me.
अगर वह ज़रा सा भी हिल जाता है तोह आपको ही रेगुलेटर से खिलवाड़ करके सही करना पड़ता है ।,You'd have to tinker with the regulator.
"О, аз все още бях единствения девет две-две, който някога беше настройвал инжекцията на регулатора.",I was a 922.
"Она даже не понимала церемонию бракосочетания, вообще не осознавала, что она действительно вышла замуж--",She didn't understand what had happened.
Chúng tôi sẽ đi vào đó.,We would enter.
"И было похоже, что она отвергала то, кем она была, в определенном смысле, ну, понимаете, по тому, как она относилась, ну, к другим внукам.",She treated the other grandchildren differently.
"Ilikuwa kweli nzuri, na vazi lilipeperuka katika upepo kwa kiasi kidogo.",The dress was billowing in the wind.
"Ah, çok fazla zamanımı, ah, Özel Faaliyetlerde geçirdim.",I was in Special Activities.
我问他，你知道，我能做吗？你今晚需要我留下来，我们一起做吗？如果明天没问题的话，我可以在明天午饭前完成。,I asked how urgent it was.
"Ancak, Augusta'nın dışında Evans adlı bir küçük bir kasabada yaşadılar ve Evans hala var, ve birçok akrabam hala orada.",They lived in Evans which is very small.
"Η αδερφή μου συνεχίζει να μου λέει, λέει, Μερικές φορές είστε ακριβώς σαν τη γιαγιά, συμπεριφέρεστε στους ανθρώπους άδικα για λάθος λόγους.",My sister said I wasn't always nice.
"Ээ, а потом мы переехали в новый дом.",We relocated to a new residence.
"Tamam gibiydim, şey bu iyi, bilirsin, bunun gibi.",I said that I approved of it.
และจุดของสีจะเปลี่ยนทุกร้อยองศา มันอาจเป็นสีแดง มันเปลี่ยนเป็นสีฟ้า,The paint changes according to color.
"Je mange réellement vite, aussi vite que je peux et ensuite elle arriva là et elle se retrouva à m'aider.",I scarfed the food down.
كان زوج أختها فاتح البشرة أيضًا.,Her brother in law was light colored.
"Her neyse, yüksek O2 regülatörünün bu icadıyla karşılaştılar.",They invented a new regulator.
"Et c'est ainsi que nous avons déménagé à Las Vegas, NV, et je me suis déclaré, comme je l'ai fait à Washington, à une certaine adresse au centre-ville de Las Vegas.",I have worked in both Las Vegas and Washington.
"Naam, kidato cha nne kilikuwaa raha tele.",I liked fourth grade.
"Ni kama faili moja yenye tab nzima, tofauti, unajua, kila tab ina kama lahajedwali tofauti juu yake.",The tabs have a lot of data.
ฉันไม่สนใจว่าคุณจะทำให้มันเสร็จได้อย่างไร,I don't care what your method is.
Et ils ont déménagé à Mallard Creek à Charlotte.,They then lived in Mallard Creek.
"Où il était le fils d'un ministre, donc il avait, ils avaient une propriété, et tout ça, et ils avaient des liens étroits avec la communauté et étaient tenus en grande estime.",His dad was a pastor.
اور مجھے نہیں پتہ تھا کہ اسے کتنی تفصیلات چاہئے تھیں.,I wasn't sure how in depth it should be.
呃，每个客户都不一样，都是他们的文件。,They keep all the files.
"यह ज्यादा सरल किया गया हो ऐसा है, उसने मुझे पहले जो दिया था वह बहुत विस्तृत और जटिल था, और यह दूसरा बहुत सरल है।",She gave me two different versions.
"Защото те всъщност не са живели в Огъста, те са живели, ами, нали знаеш, Огъста все още е бил голям град по това време, макар че за хората в големите градове като този Огъста не е толкова голяма.",Augusta isn't a large city.
في أواخر 1962 وصلتني أوامر بالذهاب إلى واشنطن العاصمة.,I was told to go to DC.
"Khi DOT tịch thu tài sản của anh ấy, chúng tôi đã chuyển đến một khu phố nhỏ hơn, nhỏ hơn ở Concord, nơi không cho phép động vật vì đã được khoanh vùng và từ đó chấm dứt câu chuyện về động vật.",Our house in Concord couldn't allow animals.
"Hata hivyo, tulisafiri kufanya kazi na naweza kuwaambia sasa kuwa, kwa sababu ya hili,  tulipelekwa kwa Kadina, Okinawa, na hii ilikuwa mwaka wa 1968.",We deployed our forces in 1968.
Μου είπε τι ακριβώς χρειαζόταν και ότι το χρειαζόταν σήμερα.,He told me it was urgent.
لقد رحلت بالفعل وأخبرتني ألا أقلق على ذلك.,She said I shouldn't fret.
"Αυτό είναι απλά, ξέρεις, κοίτα έχεις προβλήματα.",You are in danger.
لقد انتهت أمي ، لم تكن واحدة من المفضلة له في وقت مبكر ، آه ، لذلك نزلت للعمل في الحقول في حين أن بعض الأطفال الآخرين لم يعملوا في الحقول.,My mother had to work outside.
"Και έτσι ξέρεις, τελικά, ξέρεις, ξέρεις, συνέχιζαν να ρωτούν τους ανθρώπους τριγύρω και κανείς δεν ήξερε πού ήταν και τελικά, ξέρεις, συμφώνησαν ότι δεν θα έβλεπαν ποτέ τον Joe ξανά.",One day Joe was just gone and nobody could figure out where he went.
أخبرتهم بأختي.,I blamed it on my sister.
และเธอบอกว่าจากนั้นแม่ของเธอ แม่ของเธอก็เอียงไปข้างหน้าและเธอก็จ้องมองโดยเธอพูดว่า เดินให้เหมือนเขา,She said her mom has the same walk.
"bạn biết đấy, và cô ấy đang nhồi cánh hoa lên đó và tôi thực sự không biết bất kỳ hậu quả nào.",I didn't know what would happen to her.
"Ah, otra cosa que pasó allí que pensé podría ser interesante fue uno de los primeros recuerdos de mi hermana, y eso pasó en ese mismo patio trasero.",I remembered something that happened in the backyard.
ดังนั้นทั้งหมดได้เน้นย้ำ และฉันหมายถึงว่าฉันมีเหตุผลในทุก ๆ ด้านที่จะเครียดในทุกวันนี้ มันเหมือนกับคุณกำลังมอบอะไรบางอย่างที่คุณไม่รู้ว่าจะทำอย่างไร และเหมือนกับว่าคุณต้องทำมันที่นี่,I did not know how to do the job I was assigned today.
"Así que ahora, aquí está, lo quiere hoy.",He says he would like to get it today.
اور بدقسمتی سے ہم دوبارہ چلے گئے.,We moved another time.
"मै वाकै में बड़े अच्छे से नहीं जनता था श्रीमती फॉल्क को , पर यकीनन वह ८० की थी और काफी अच्छी व्यक्ति थी मैंने उन्हें कुछ बार देखा था पर मै काफी डरा हुआ था उनसे ।",I had seen Mrs. Faulk a few times but did not know her well.
ہم ملارڈ کریک 85 میں رہتے تھے جہاں اب 485 ہے کیونکہ پچھلے 10 سال پہلے ہمیں 485 کی وجہ سے منتقل ہونا پڑا تھا۔,We lived there many years.
"Patron, il était comme un homme avec une double personnalité.",He was moody.
Ana umri wa kutosha kuwa baba mzazi wangu,He's older than me.
"Все взаимосвязано и - боже мой! - я даже не знаю, как долго это было так.",I don't know how long it lasts.
"Този път не бях дори щастлива, че тя беше там, защото бях толкова стресирана.",I was too anxious to be happy that she was there.
và đó là phần lớn là do các bà mẹ đang dùng ma túy,The mothers take drugs.
vâng thật tuyệt khi trời đang mưa,It is nice and rainy.
oh insan hayatının değeri ve birisini rehabilite edip edemeyeceğiniz nedir,Regardless of rehabilitation what life is worth it.
"Oh Junge, du hast dort ein merkwürdiges Verkabelungsproblem",There's a problem caused by this odd wiring.
ดูน่าสนุกมาก ใช่มันยอดเยี่ยมมากสำหรับฉันที่เขาอนุญาติของหลายๆอย่าง,I'm surprised what they could get away with.
"evet tam olarak demek istediğim zaman kendinize uygun bir şekilde geçiyorsunuz ve o zaman ter dökmek zorunda kalıyorsunuz, kulüp sağlığına gidebilirdiniz, ah her şey dahil tatil",It costs a lot to outfit yourself.
vaise bhi mere bache ab 21 aur 24 ke ho gaye hai. isliye ab mujhe zarurat nahi,I do not need to because my children are over the age of twenty.
ہاں یہ فریسنو ہے,I'm telling you that this is Fresno.
ναι άνθρωποι που θα μπορούσαν να εργάζονται ανά πάσα στιγμή ή οι αποφάσεις των οποίων θα μπορούσαν να είναι αμφισβητήσιμες αν έπρεπε να πάρουν μια απόφαση,"Yeah, people who might not be able to make the best judgment calls."
όχι είναι ακόμη σε περιοδεία. Περιοδεύουν από τα τέλη της δεκαετίας του εξήντα,They have been touring since before 1970.
คุณจะเต้นแอโรบิคอย่างไร,Can you explain how you'd perform aerobics?
"Bueno, esa es una buena en la cual no había pensado que sí.",That's a good point.
日托每周两次，他们称之为老年日托，但她去的是老年人中心。,They refer to it as a senior day care but it is called the senior center.
esa era su meta oh,That is what they had been striving for.
السيطرة على السلاح يعني استخدام اليدين,Use both hands if you want to practice gun control.
ну и эээ вдруг неожиданно появилось откуда-то непонятно откуда но,I do not know where it comes from but it is swift.
کوئی حقیقت میں میں اس سے بھی واقف نہیں ہوں. مجھے نہیں لگتا,I don't know much about it.
"да, тя беше страхотна, знаеш ли, тя",Yes she was very good.
evet ya senin kullanacağın bir paspas almayı önerdi,He suggested finding a mop.
"είναι πραγματικά άσχημο, μόλις είχαμε έναν πυροβολισμό στον αυτοκινητόδρομο περίπου τρία τετράγωνα από το σπίτι μας","There was a shooting close to my home, it is really not good in this area."
ừ hừm đúng vậy nó thực là nó không thực sự ừm phù hợp,You are correct about it not be consistent.
Ninajaribu kuvumilia tu hapo.,I am attempting to hang on.
جی ہاں اوہ آپ کو کتنے کتے ہیں,What kind of young dog do you have?
"bạn nói bạn có con cái, vậy chúng bao nhiêu tuổi rồi","You stated you have children, what are their ages?"
Ils n'étaient probablement pas les individus les plus brillants du monde mais ils étaient sympathiques et s'intéressaient aux gens qui avaient envie d'étudier,They may not have been the smartest but they were very friendly and were interested in those that study.
"Однажды мы туда ездили, и вот возвращаемся мы в лагерь с одного мероприятия, кхм... Включаем свет – а там скунс...",When we came back from an event we found a skunk.
bạn biết tất cả các con của tôi nổi trội nhưng là chúng thực sự tốt và tôi đoán cậu bé đã học từ những anh trai lớn hơn,He has learned from the older male children but all of my offspring outshine.
και θα ανάγκαζε επίσης τους ανθρώπους να συμπιέζουν τα σκουπίδια τους περισσότερο και ο περιορισμός του όγκου είναι πιθανόν λίγο πιο κοντά στο πραγματικό πρόβλημα από ότι ο περιορισμός του βάρους,People constraining the amount of garbage is closer to the issue than the weight of the actual garbage.
"Значи ако има трешка, тя е твоя, нали?",If there is an error it belongs to you.
你知道的，特别是做接缝之类的事情，你知道的，这需要专业的技能来完成,The seams are done in a very skillful way.
"sí, sí, en mi trabajo te dan dos semanas al empezar y después cada año te dan un día extra hasta que tienes cuatro semanas",Your time keeps increasing every year.
uh đó là điều tốt đẹp khi sống nhiều hơn ở đất nước bạn không phải lo lắng về điều đó,What is great about being in the country is you do not have to fret over things like that.
哦我的话听起来是很冒险,That sounds like a great adventure.
και τώρα έχω μια αδελφή στη Γερμανία,Currently I have a sibling residing in Germany.
Şu an genç bir kızım var ve onu başarıya ulaştırmak vesaire bir nebze zor ama yapacağım,It is a little harder for me to get my daughter there.
ndio kuwa na msimu mzuri wa kiangazi,"Yes, have a pleasant summer."
हम असली प्रकृतिवादी नहीं हैं मगर,Actually we do not consider ourselves to be naturalists.
"Ja, ich erinnere mich noch daran, wie meine Großeltern und ich raus auf die Straße gegangen sind und Bierdosen ausfgesammelt haben und hmm",I used to help my grandparents with picking up cans from the road.
vậy đây không phải là trải nghiệm đầu tiên của bạn với một con chó.,Apparently this is not your first time with a dog.
对，对，不要穿过整个九码,You don't have to do the whole thing.
um ben kampüs dışında yaşıyorum,I do not live on campus.
"мъже, освободени от обвинение, при което един човек намушква бившата си жена до смърт, защото тя спи с друг мъж, имам предвид, че говорим за бивша жена и",A man killed his ex wife for sleeping with another guy after being freed from a prior charge.
eso es como cuentas de ahorro con contribución,Is that the same thing as match savings
"это было, эм, из, эм, Вилс Поинт, я не знаю знакомы ли вы с",I am not sure if you have heard of Will Point.
"ý tôi là đồng hồ đeo tay, những đôi giày và, vâng những cây bụi đều chuyển sang màu trắng",My shoes were covered with it.
"lo hacen como un trabajo de amor, por lo que la idea del oficial es buena",I think the idea of the officer thing is great.
nó trông khá sắc nét,It was very easy to notice.
na tunaweka makopo yetu kwa kitu kimoja na kioo katika kingine na karatasi katika kingine mara tu hupata kikamilifu kukiingiza ndani ya gari na kutoa hua ni uchungu.,"It's hard to load up the paper, glass and can after separating them into their own container."
لوسٹسٹ پہاڑیہ اوہ ٹھیک ہے,"Yes, that is right, Locust Hill."
"У меня тут газон из Бермудской травы - ему нужно кучу воды и его надо очень коротко стричь, если ты хочешь, чтобы он выглядел как лужайка для гольфа",Bermuda lawns can be made to look like golf course greens.
"un níquel menos, o lo que es lo mismo, treinta centavos menos por seis botellas. Todos cruzan la frontera para comprar las bebidas más baratas",A six pack is about 30 cents cheaper across the border.
ναι μπορώ να τον ακούσω,He is definitely loud enough for me to hear.
"Äh wann immer du einen Gegenstand kaufst, vor allem einen großen Kaufgegenstand, in dem du zahlst musst du immer hinzufügen, dass etwa zehn Prozent Steuern sind.",You always have to add ten percent tax to whatever you're buying when you are figuring out the cost.
"което е малко необичайно, но се извършва чрез покровителството",It is not all tha common.
هذا ما تخطط للقيام به لذلك آمل ذلك,I hope she does what she is planning to do.
точно но я имею ввиду с новыми законами теперь действительно тяжело,"Precisely, though with the new regulations it is more difficult now."
"Allah Allah, kuralların hiçbirini bile takip etmediğini biliyorsun ve ben de rahatsız etmemiş gibiydim, tabiki onu kovmakta haklılardı",He broke all the rules.
نعم لا يبدو ذلك ممكناً أليس كذلك,Truthfully it does not look like it could happen.
