sent0,hard_neg
"ดังนั้น, ฉันไม่มีเรื่องใดเรื่องหนึ่ง",I have 1 specific store.
"Ve, hiçbir zaman kendi başına hiçbir şey yapmak zorunda değildi.",He is very independent.
"Thế là tôi kiểu như là, Ôi trời ơi, và Ramona đang đứng ở đó.",Ramona was on the floor curled up in a fetal position.
Và thực tế là cô ấy thật nhẹ nhàng!,She was very happy.
ฉันไม่รู้ว่าเขาอยู่ในออกันตาหลังจากนั้นหรือไม่,He moved outside of Augusta right away.
"ทั้งหมดที่พวกเราทำ, พวกเขาไม่เคยบอกสถานที่ใด ๆ ที่พวกเขาไปแม้กระทั่งเมื่อพวกเขาออกจากสถานที่เพื่อไปยังที่อื่นเพื่ออยู่สักพักหนึ่ง",They always let us know where they were and where they were going.
"Họ nói, Chúng tôi đang trả tiền cho nơi bạn ở.",They won't pay for anything forus.
"Bueno, al día siguiente, por supuesto, el presidente Kennedy, mm..., bloqueó Cuba y, mmm..., nuestros buques detuvieron un barco ruso que se dirigía a las afueras de Cuba y encontraron misiles.",They didn't stop any ships because they didn't want conflict.
ถึงอย่างไรก็ตามชายคนนั้นเข้ามา,The man ran the other way.
"मेरे नाना नानी बोहोत ज़्यादा प्यारे व्यक्ति थे , और हम हमारे माता पिता के साथ काफी अच्छा समय बिताया था ।",My grandparents were always very cranky and we never liked going to their house.
Sikuwa na muda wa kuingia katika kila aina ya chochote.,I entered it in all on time.
وكان من أحد واجباتي تدريب الأفراد على كيقية وضع المظلات على مشغل الأسلحة النووية التي تفجر القنبلة الزرية نفسها .,The atomic bomb has no trigger.
"Meine Großmutter erzählte mir viele verschiedene Geschichten über ihre heranwachsenden Jahre und, ähm, besonders, uh, sprach sie über ihre Familie und wie es damals war.",My grandmother always refused to talk about her childhood.
"हमारे पास पूर्ण दबाव सूट है हवाईजहाज में , जैसे अंतरिक्ष यात्री पहनते है , बस हमारे पुरे चांदी जैसे चमकीले थे , बूट और सबकुछ चांदी जैसे , ताकि गर्मी को विपरीत धकेल सके ।",Our suits were nothing like what the astronauts had.
"और वह, मेरे दादा एक अच्छे आदमी नहीं थे ।",My grandpa was the nicest guy you'll ever meet!
"Đó là 30 hoặc 40 máy bay U2, và chúng tôi đã bắt đầu huấn luyện các phi công Trung Quốc, phi công Anh, chỉ trên khắp thế giới mà chúng tôi là đồng minh.",We had no training with anyone.
और वह कहती थी की यहाँ इस प्रकार के  दफ्तर में ढूंढो ।,She didn't speak to me.
Anh ta nói rằng họ đã đi lên phía Bắc.,He said they went down South.
"Hmm, nein, ehrlich gesagt habe ich noch nie eines der Bücher gelesen, die ich lesen sollte.",I read books every day.
मै आगे बढ़कर सामान उठाया और उस पते पर पहुंच गया जहा मुझे जाना चाहिए था ।,I left the bag and figured it wasn't my problem.
كان البديل المزاجي المذهل.,Her mood stayed completely consistent.
พวกเขาเลือกฉันมากกว่า 15 คนที่นั้นเพื่อที่จะผ่านไปโรงเรียนนั้นและฉันไม่ใช่ ฉันไม่ใช่,I was not chosen to attend the school.
"Они должны пройти через несколько высотных камер, да, поездок, прежде чем они начнут просто пилотировать U2 или летать в противоперегрузочных костюмах.",They just let you fly U2s on the first day.
Покривам едни и същи неща.,I cover completely new material.
"Впервые за 75 лет легислатура Техаса проголосовала за избрание представителями Техаса военного подразделения, таким образом, необходимы представители Техаса.",Military units aren't allowed to be TX Ambassadors.
"Ако имаше нещо, което можех да направя.",I knew there was nothing i could do.
"Bundan nefret ederdi ve her gün kız kardeşine söylerdi, Yanlış yapıyorsun derdi.",She always encouraged her sister.
"Also ging ich zu ihrem Haus und dann rief ich diese Nummer an, die ich anrufen sollte, als ich dort ankam.","I was supposed to call, but I didn't."
"Nun, ich komme dort heute morgen an und, äh, ich habe vergessen wie, ich glaube, ich habe entweder eine Frage gestellt und er kam dort hin oder was auch immer.",I didn't go today so I didn't see him.
Hatukujua ni wapi walienda.,we knew just where they were headed.
"Ama ben, unut gitsin, öğle yemeği yiyeceğim, açım havasındaydım.",I had no appetite at all.
Thế đấy và hãy để tôi nói với bạn rằng tôi đã đến mức mà hôm nay tôi sắp bỏ thuốc lá.,It never entered my mind to quit.
"उनका जन्म १८८० में हुआ था, जैसे १८८, मुझे लगता है कि यह १८९८ था, मुझे लगता है कि उसी समय वह पैदा हुआ था।",He wasn't born until 1984.
Du drehst die kleine Schraube besser etwas nach unten weil du könntest sonst beschädigen und anderen ihre lunge sehr leicht,"The screw carries no risks, so tighten it as much as you want."
مجھے ڈیل ڑیو جانے کا حکم دیا گیا تھا ، جب وہاں پہنچا  تو پتا چلا کے لافلن ایئر فورس بیس جانا پرے گا۔,I have never been to texas.
ทุกคนได้แชมเปญและบางคนก็ไม่ดื่มมัน สิ่งที่เหลือเด็ก ๆ ก็ดื่ม ดังนั้นเราจึงเดินไปทั่วเพื่อดื่มแชมเปญทั้งหมดนี้,The whole party was dry and no alcohol was served.
برہنہ شہر میں کئی داستانیں ہیں.,I haven't heard any stories.
"Bạn sống và học tập, bạn biết đấy, khi bạn kiểm tra, ôi, máy bay.",I don't know anything about testing aircraft.
Ý tôi là đó là toàn bộ vấn đề.,I don't understand the point.
"Anh ta bay đến Cuba từ sân bay, và dĩ nhiên Rudolph Anderson bị bắn hạ.",All of the planes survived without being shot at.
"C'était probablement la première chose dont je me souvenais de ma petite enfance, et en particulier au sujet d'une bêtise.",I don't really have any memories of my childhood.
在那个时代，他们不喜欢黑人的所作所为，而且，你知道，我想，也许，你知道，在20世纪30年代早期，呃，他们是如何做的。,It was so easy to be black!
Không ai biết chúng tôi đã đi đâu.,Everyone knew exactly where they were going.
और वे अगस्ता क्षेत्र में नहीं रह सकते क्योंकि लोग जानते थे कि उन्होंने कुछ ऐसा करने की कोशिश की थी जो वास्तव में निषिद्ध था और वाइट के लिए पार करने का प्रयास किया था।,People had no clue that they weren't white people.
นั่นแหละ เจ้าตัวมาแล้ว,The guy never came here.
Televizyon'da bir şeyler izliyoruz.,We didnt own a tv.
不管怎样，我想我又和雷蒙娜说话了。,I have never talked to Ramona.
"Il était la seule victime de la crise cubaine, et euh, Kaiser euh, il a pris les photos et a volé directement jusqu'à Andrews Air Force à Washington.",10000 people died in the Cuban Crisis.
"Hum y ella dijo... dijo... dijo... cariño, dijo, no entiendes la vida del modo que yo entiendo la vida.",She said she was totally clueless.
然后我明白了，我的感觉很棒，我该怎么办呢？,I knew just what to use it for!
"Dame solo un minuro, si quieres cortarlo, yo, hum, me voy.",I am ready to go right now.
"Và tôi đã đến, tôi đã đến Washington D.C. và tôi đã không đi thẳng đến, uh, chỗ đó, uh, nơi họ bảo tôi đến trong các đơn hàng.",I have never been to Washington DC.
Sie war eine hellhäutige schwarze Person.,She had incredibly dark skin.
"Wie auch immer, Papa geht und macht dieses schöne große Glas Schokoladenmilch für mich.",Dad said I wasn't allowed to have a drink.
DOT đã phải mua tài sản và các thứ khác.,The DOT was able to find a different property that they could rent instead.
وہ پیدا ہوا تھا,He wasn't supposed to be born.
"Niko kama, najua umbali nimefika.",I told them I didn't know what I was doing.
"Vale, ¿puedes oírme?",I know you can't hear me.
อืม มีบ้างไหม เธอบอกว่าเธอจำไม่ได้ว่าอ่านอะไรเฉพาะไป เหมือนกับเมื่อเธอโตขึ้นในโรงเรียน มีหนังสือเล่มไหนที่เธออ่านแล้วเธอชอบหรือเกลียดบ้างหรือเปล่า?,I know you loved every book you read.
"Това е малък винт, който поставя инжекция, но тръбата за дишане под налягане към пилота и противоналягането.","There are no screws, just buttons."
"Yeye akawa, Usijali kuhusu hilo, unajua, chukua muda wako tu.",She told me i needed to hurry up right away.
يقول الرئيس كيندي للطيارين، يا رجال، أنتم تلتقطون صور جيدة.,Kennedy didnt acknowldge them.
"और मैं ऐसा था, मैंने लगभग खत्म कर लिया है।",I told him I'd never finish.
میں نے ہر چیز کو لکھنے کی کوشش کی۔,I didn't bother to write anything down.
لا ، لقد ولدت في عام 1900 لأنها كانت في السادسة عشر من عمرها ، لذا يجب أن تكون كذلك في عام 1926 ، 19 ، كما تعلمون قبل عام 1930.,She wasn't born until 1943.
इसी लिए वह बड़ा ही मजेदार था ।,I wasn't interested at all.
Kız kardeşi beyaz için geçebilirdi ve aslında beyaz için geçti.,Sher sister was very dark.
"Bueno, era casi lo bastante viejo como para ser su papá.",He was much younger than her.
นั่น ฉันเป็นเพียง 922 คนที่สนับสนุนชีวิตคนอื่นคือการสนับสนุนทางสรีรวิทยา,No one gave any sort of support.
"Und hier bin ich, denke er wird herrein kommen und so sein, du weißt schon, es nur an mir auslassen, du weißt, einfach nur wie ich es nicht machen könnte",I knew he wasn't going to come here at all.
"Ну да, разумеется, нечего и говорить, у нас было..., нам нельзя было ошибаться.",It's ok if we made a few errors.
และเอ่อแต่เอ่อ ฉันคิดว่าตอนกลางคืนฉันคงนอนไม่หลับ,I sleep like a baby at night!
एक बात तो है की उसकी वकालत काफी बढ़िया है ।,She was incredibly vulnerable.
嗯，从来都没有人告诉过我--,He told he everything i needed to know
"Vì vậy, ông, chúng tôi sống trong khu vực này.",Our home was far from this place.
اور وہ بہت تیزی سے بات کر رہا تھا، وہ اپنے موباۂل پہ تھا ۔,He is speaking as slowly as he can.
"Δεν μπορώ να θυμηθώ τι ήταν, αλλά ξαφνικά έγινα πολύ νευρικός που έπρεπε να πάω στο σχολείο για πρώτη φορά και αυτή ήταν ίσως η πιο αγχωτική ημέρα της ζωής μου.",I was really relaxed about starting school.
لقد كنت أعيش بالفعل بجوار سانت لويس بين مدينة جيفرسون وسانت لويس، مو.,I lived in Texas.
"Del Rio'da belli bir yere haber veriyordum, o zaman yeni açılmış olan Laughlin Hava Kuvvetleri Üssü'ne gitmem gerekiyordu.",The Laughlin Air Force Base has always stayed open.
Tôi không quan tâm bạn làm thế nào.,I need to approave every deal.
"И затем я стал искать, узнал, где была Рамона и позвонил ей туда.",I ignored Ramona.
"Междувременно Военновъздушните сили купиха SR71, сега А-12, за които работихме с ЦРУ.",The Air Force didn't have any planes.
"Έτσι, ο σύζυγος της αδελφής της ήταν επίσης ανοιχτόχρωμος;",Her sister is single.
"Но с напредването на възрастта тя никога не признаваше, че греши, но промени поведението си.",She didn't change her behavior at all.
"Чичо ми, той е страхотен човек.",My uncle is such a jerk!
"J'ai rendu visite à ma sœur qui habitait là-bas. Son mari travaillait pour les services secrets et faisait du renseignement, et j'ai été chez eux.",My brother never enlisted.
میں سوچوں گا،ٹھیک ہے، میں ہوں، میں کسی اور کو جانے ده رہا ہوں،لیکن پھر میں سوچتا ہوں،میرے خدا!,I wasn't going to let anyone else go.
"En un minuto está golpeando el escritorio, al siguiente está bien, tómalo de mi escritorio, da, da, da, da, da.",He is very consistent and calm.
"Έτσι, ε, κατέληξε να μπαίνει εκεί και ήταν σαν, πώς πέρασε;",He didn't speak to us at all.
"Us din mai apna wheel ghooma raha tha, mjhe nahi pata, magar aisa lag raha tha kai pura din mai yehi kar raha tha.",I hurried and got it over with quickly.
Và cô ấy bị bệnh lao và tôi cũng không bao giờ biết điều đó.,I knew she was very sick with TB.
你知道，你不能，如果你无法应对任何压力，你就无法生存，在这些海拔上增加呼吸压力。,Counter pressure kills you every time.
"Ξεκίνησα αμέσως, την εκπαίδευση σε αυτό από τα άλλα δύο παιδιά που ήταν στο μέρος.",I never got training so I just figured it out as i went along.
"Nếu nó đã bị mất một iota, bạn phải làm một số điều chỉnh với chính cái máy điều tiết.",The regulator was worthless.
نعم كنت ما زلت الأول والوحيد بين تسعة وأثنين وعشرين الذي وضع جهاز الحقن في المنظم.,I was never a 922.
"उसे शादी के क्रिया करम भी नहीं समज पाई, उसे ये भी नहीं समजा की उसकी शादी हो गयी थी, सच में --",She knew what she was getting into.
Chúng tôi sẽ đi vào đó.,We would never go in.
"Và nó giống như việc bà ấy đã từ chối mình là ai, theo vài cách, bạn biết đấy, cách bà ấy đối xử với những đứa cháu khác.",She treated everyone the same.
"Ήταν πραγματικά ωραίο, και το φόρεμα κινιόταν με τον αέρα λίγο -",There was no wind so the dress was still.
呃，我大部分时间都在，呃，特别活动中度过。,I was never in Special Activities.
我问他，你知道，我能做吗？你今晚需要我留下来，我们一起做吗？如果明天没问题的话，我可以在明天午饭前完成。,I knew the work needed to be done right now.
"Но э... они жили в маленьком провинциальном городке за пределами Аугусты, называемом Эвансом, и Эванс все еще существует, и там также все еще много моих родственников.",They lived in Atlanta.
تظل شقيقتي تقول لي ، أحيانًا أنت مثل الجدة ، تعامل الناس بطريقة خاطئة لأسباب خاطئة.,My siter said I was nothing like my granny.
嗯，我们搬新家了,We stayed in the same house our whole lives.
"Аз бях почти добре; така, това е добре, знаеш; харесва ли ти?",I said I hated it and disapproved greatly.
"Через каждые сто градусов пятна краски меняют свой цвет, она может быть красной и изменить цвет на синий.",the paint is always black.
"Comí muy rápido, lo más rápido que pude y luego ella entró y terminó ayudándome con eso.",I ate very slowly so i wouldn't get sick.
Mume wa dada yake alikuwa na ngozi nyeupe pia.,her sister wasn't married.
"Hata hivyo, wanakuja na uvumbuzi huu wa mdhibiti wa juu wa O2.",They still couldn't figure out how to make a high O2 regulator.
ดังนั้นเราจึงย้ายไปที่ลาสเวกัสรัฐในเนวาดาและฉันรายงาน เช่นเดียวกับตอนที่ฉันอยู่ในวอชิงตันไปยังที่อยู่แห่งหนี่งในตัวเมืองลาสเวกัส,I have never been to Los Vegas in my life.
واہ، چوتھی جماعت میں بہت مزہ آیا.,I hated every bit of school!
"Это как одна папка с множеством закладок с разными, знаете ли, когда у каждой закладки другая таблица.",The page is just  one list of numbers.
"Es ist mir egal, wie du es hinbekommst.",I need to know exactly how you will do this.
Y se mudaron a Mallard Creek en Charlotte.,They never moved to Charlotte.
"Εκεί που ήταν α, ήταν ο γιός ενός υπουργού, έτσι είχε, είχαν περιουσία και πράγματα, και ήταν πολύ καλά συνδεδεμένοι στην κοινότητα και πολύ, με μεγάλη εκτίμηση.",His dad was a convict who never went to church.
"И я... я не знал, сколько подробностей он хотел.",I gave him every detail because I knew he wanted it.
والأمر يختلف حسب كل عميل وجميع ملفاتهم.,They don't have any of the files.
"Така е сякаш по-опростено, като това, което ми беше дала, е подробно и сложно, а второто е съвсем просто.",She only gave me one version and it was just a few lines lone.
چونکہ وہ اغستہ میں رہتے نہیں تھے ، اس زمانہ میں اغستہ قَصبہ تھا ، برے شہر والوں کو اغستہ چھوٹا ہی لگتا ہے۔,They lived in the heart of Augusta.
"Ende 1962, äh, erhielt ich den Befehl, nach Washington, D.C. zu gehen",They told me to go to Africa.
"Когато Министерството на Транспорта си взеха собствеността, ние се преместихме в по-малка, по-малка площ в Конкорд, където не е разрешено да имаш животни, тъй като е зониран и това е краят на историята с животните.",Our house in Concord had 30000 acres and lots of animals.
"Короче, мы дислоцировались, и теперь я могу сказать, по... по этой самой причине, что, что, что... ммм... мы были дислоцированы на базу Кадена на Окинаве, и это было в 1968 г.",We never ended up deploying anyone.
Anh ấy nói với tôi chính xác anh ấy cần gì và anh ấy cần nó vào ngày hôm nay,He said I could turn it in whenever.
เธอไปแล้วและเธอบอกกับฉันเพียงแค่ว่าไม่ต้องกังวลกับมัน,She said it was time to panic.
"Αυτό είναι απλά, ξέρεις, κοίτα έχεις προβλήματα.",You'll be just fine!
"Mi madre terminó no siendo una de sus favoritas al principio y, ah, así que fue relegada a trabajar en el campo mientras que algunos de los otros niños no trabajaban en el campo.",My mom was the golden child so she didn't have to work.
"Na hivyo unajua, hatimaye, unajua, unajua, waliendelea kuwauliza watu hapa, na hakuna mtu aliyejua mahali walipo, na hatimaye, unajua, walikubali tu kwamba hawatamuona tena Joe",No mater how hard we tried we just couldnt get Joe to leave us alone.
मैंने उन्हें मेरी बहन के बारे में बताया।,I said it was mine.
"Et elle dit à sa mère, sa mère se pencha en avant et elle la regarda et dit « Marche comme lui ».",She said her mom is paralyzed and can't walk.
آپ جانتے ہیں، اور وہ وہاں پنکھڑیوں کو ترتيب دے رہے ہیں اور مجھے کسی بھی نتائج کے بارے میں معلوم نہیں تھا.,I knew what was going to happen when she did that.
"Ах, друго нещо, което се случи там, което според мен беше интересно, бе един от първите спомени на сестра ми и това стана в точно този заден двор.",I have no memories of that house.
"Also all das Stressige und ich meine, ich hatte jeden Grund gestresst heute zu sein, es war wie, du bekommst etwas was du nicht kannst, und es ist wie hier mach es.",Today I was asked to perform only duties that I am well trained to perform.
"Also jetzt, hier ist es, er will es heute.",He says he can get it whenever.
"Na kwa bahati mbaya, tulienda tena.",We never moved after that.
أنا بالفعل لا أعرف السيدة فولك جيداً كان عمرها حوالي 80 عام وكانت شخصاً ظريفاً وقد رأيتها بضع مرات لكني كنت عصبياً بالفعل بسبب ذلك.,I was very close friends with Mrs. Faulk.
ہم ملارڈ کریک 85 میں رہتے تھے جہاں اب 485 ہے کیونکہ پچھلے 10 سال پہلے ہمیں 485 کی وجہ سے منتقل ہونا پڑا تھا۔,We only lived there two weeks.
"Sếp, như một một người đàn ông có cá tính chia rẽ.",My boss was mellow and consistent.
Il est suffisamment vieux pour être mon père.,He's much younger than I am.
"Tất cả mọi thứ đều được liên kết, và trời ạ, tôi thậm chí còn không biết bao lâu.",I know it's 4 feet long.
Αυτή τη φορά δεν ήμουν καν χαρούμενος που ήταν εκείνη εκεί επειδή ήμουν τόσο αγχωμένος.,I was so happy and relaxed!
và đó là phần lớn là do các bà mẹ đang dùng ma túy,The mothers aren't on any prescriptions or drugs.
نعم في الواقع هذا رائع هل كانت تمطر,It is so horrible with the never ending sunshine.
oh quelle est la valeur de la vie humaine et si vous pouvez réhabiliter quelqu'un ou non,No humans deserve to be rehabilitated.
έχετε ένα περίεργο πρόβλημα καλωδίωσης εκεί,The wiring isn't the issue.
أصوات كثيرة ممتعة ،نعم  كان ذلك مدهشاً لي كم كم أشياء كثيرة كانوا يسمحوا بها.,I'm not at all surprised that they were leinient.
"evet tam olarak demek istediğim zaman kendinize uygun bir şekilde geçiyorsunuz ve o zaman ter dökmek zorunda kalıyorsunuz, kulüp sağlığına gidebilirdiniz, ah her şey dahil tatil",It's really cheap to get outfitted.
"oh sowieso trotzdem ähm, meine Kinder sind jetzt einundzwanzig und vierundzwanzig, also muss ich nicht",I must since they are both ten and eleven years old.
Ja ähm das ist Fresno.,I'm not sure where this is.
是的，那些在任何时候都可以工作的人，如果他们必须做出决定，他们的决定可能是模糊的。,"Yeah, people whose decision faculties are never impaired."
"नहीं, वे अभी भी वे अभी भी दौरे पर हैं, वे लेट साठ के दशक के बाद से दौरा कर रहे हैं",They recently ended their tour.
你怎么做有氧运动?,Please stop talking about aerobics.
đó là một điều tốt tôi đã không nghĩ về điều đó,That's a dumb idea I discarded last week.
"guardería de dos días a la semana, lo llaman guardería de la tercera edad, pero ella va al centro de la tercera edad",The day care is open every day for children under the age of five only.
那就是他们的目标，哦。,That was never what they wanted.
контроль над оружием означает использование обеих рук,The best way forward for gun control is to use both feet.
"Inatokea mahali ghafla, lakini sijui haswa inatokea wapi.",It comes like molasses and I know exactly when it will be coming.
όχι στην πραγματικότητα δεν είμαι εξοικειωμένος με αυτό δεν νομίζω,I've been studying it for years.
"vâng, cô ấy rất tuyệt, bạn biết cô ấy",No she was horrible.
نعم اقترح مجرد الحصول على أه أم أم ممسحة مثلما كنت تستخدم,He suggested buying a vacuum.
"Burada gerçekten çok kötü, evimizden yaklaşık üç blok ötede bir otoyol çekimimiz vardı.",The shooting was at least 100 miles from where I live.
Ni kweli sio thabiti,"I disagree with you, it is very consistent."
ฉันกำลังพยายามที่จะสู้ต่อไป,I will let go and never look back.
"ναι, ω, τι είδους κουτάβι έχετε",What kind of cat did you rescue?
"Bueno, dijiste que tenías hijos, ¿de cuántos años?",I am sorry to hear that you were not able to have children.
"те вероятно не бяха идеалните хора на света, но бяха ъ-ъ, много прилични и се интересуваха от хора, които бяха готови да учат",They were the beyond brilliant but detested anyone that put effort into studying.
"Una vez fuimos a esa cosa, eh, allí, regresamos de un evento y encendimos las luces alrededor del campamento y había una mofeta",We found a goat at the camp site after we had already turned out the lights.
你知道我所有的孩子都非常出色，他们都非常优秀，我想他从年长的孩子那里学不到东西，但是,My kids are truly idiotic.
et cela amènerait aussi les gens à compacter davantage leurs ordures et euh et limiter le volume est probablement un peu plus proche du vrai problème que de limiter le poids,People do not need to worry about the amount of garbage as long as they dispose of it properly.
"Значи ако има трешка, тя е твоя, нали?","Do not worry, if there is a mistake I will help take the blame."
پتا ہے ، خاص طور پر سیون بنانے میں ، علی ذوق کام لگ رہا ہے,The seams were done in a rush and look very sloppy.
Ndiyo pahali pangu unapata wiki mbili wakati unapoanza na kisha kila mwaka wanakupa siku ya ziada mpaka uwe na wiki nne.,Your time never goes above three days.
อือ นั่นคืออะไรดี ๆ เกี่ยวกับการอยู่ในประเทศนานขึ้น คุณไม่ต้องกังวลเกี่ยวกับเรื่องใด ๆ ทั้งนั้น,Being in the country makes you live in constant fear of things just like that.
Ma parole ! Ça me semble bien aventureux.,That sounds like an awful experience.
und jetzt habe ich eine Schwester in Deutschland,I have a sister that is right now in Cuba.
"у меня теперь есть младшая дочь, и в общем трудно привести ее туда и все такое, но я сделаю ах",My daughter has her own way to get there now that she can drive.
да желая ви прекрасно лято,I hope you have a miserable summer break.
nous ne sommes pas vraiment des naturalistes ou un truc dans le genre mais euh,We are totally true naturalists and are insulted to be thought of otherwise!
ใช่ ฉันจำตายายของฉันได้และฉันเคยไปบนถนนและเก็บกระป๋องเบียร์เสมอและเอ่อ,We used to go party at my dad's house.
那，这、这不是你第一次和、和狗一起的经历,I am sorry I did not know this was your first time ever seeing a dog.
kwa hakika usipitie yadi zote tisa na,You need to go through the whole thing.
"Ừm không, tôi sống dựa vào đại học",I live on campus.
"wanaume, mimi ni wa bure, mtu mmoja aliingia na kumchoma mkewe wa zamani kisu na kumuua kwa sababu alikuwa amelala na mwanaume mwingine, namaanisha mke wa zamani, unajua tunazungumza na",The wife made sure her ex was locked away for lifetime.
eso es como cuentas de ahorro con contribución,I have nothing that I could compare it too.
"это было, эм, из, эм, Вилс Поинт, я не знаю знакомы ли вы с",It's from Cambridge.
ฉันหมายถึงว่าฉันเคยเฝ้าดู และมันเลอะรองเท้าของฉันเต็มไปหมด และโอ้ ไม้พุ่มเตี้ย ๆ ข้างล่างนั่นเปลี่ยนเป็นสีขาวไปหมดแล้ว,It only landed on the ground so my shoes stayed clean.
"они занимаются любимым делом, поэтому идея офицера - хорошая идея",I can not stand the officer idea.
"и така, изглеждаше доста остър",The design was horrible.
và chúng tôi để mấy cái lon vào một chỗ và ly ở chỗ khác và giấy ở chỗ khác nữa một khi nó đầy thì việc đem chất nó lên xe hơi và mang chúng đi đúng là đau khổ,"WSe do not separate anything, we throw it all in one bag."
"Locust Hill oh claro, sí, genial","No, not Locust Hill."
tengo un césped Bermuda aqui y necesita mucha agua y tienes que mantenerlo muy corto su quieres que parezca un green de un campo de golf.,You only have water Bermuda lawns occasionally.
"лишние 10 центов или лишние 30 центов за шесть бутылок - все идут через границу, чтобы купить дешевые напитки",The bottles are more expensive on the other side of the border.
"si, le oigo",I can't hear him.
每当你买一件商品，尤其是一件大的商品时，你付款后还要加上大约百分之十的税。,You never have to figure out the tax in order to determine cost.
que es un poco inusual pero se hace a través de los auspicios,It's just like it is every day.
นั่นเป็นแผนที่เธอวางไว้ที่จะทำ ดังนั้นฉันก็หวังไว้เช่นกัน,She has no plans to do that.
"exactamente, pero me refiero a que con las nuevas leyes en realidad es difícil ahora",Far from the truth the laws are old and outdated.
"Donnerwetter, weißt du, er hat sich noch nicht einmal and irgendeine der Regeln gehalten und es schien als ob es ihn noch nicht einmal gestört hat. Natürlich haben sie ihn direkt rausgeworfen.",He followed every rule and still got kicked out.
evet olası görünmüyor değil mi,There is no doubt in my mind that it will happen very soon.
在华盛顿（他们无法击败的）、布法罗新奥尔良和芝加哥之间有相当多的渊源，因为芝加哥只输了两次，而且其中一次输给了布法罗,Washington has lost every game.
अह-हह अम हाँ हमारे यहाँ कपड़ों पर कर लगता है,Clothing is tax-free.
